T14,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
533,Aruba,2010,Balance of Payments: Current account (millions of US dollars),-460,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
533,Aruba,2015,Balance of Payments: Current account (millions of US dollars),111,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
533,Aruba,2018,Balance of Payments: Current account (millions of US dollars),-15,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
533,Aruba,2019,Balance of Payments: Current account (millions of US dollars),85,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
533,Aruba,2020,Balance of Payments: Current account (millions of US dollars),-324,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
533,Aruba,2010,Balance of Payments: Capital account (millions of US dollars),4,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
533,Aruba,2018,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
533,Aruba,2019,Balance of Payments: Capital account (millions of US dollars),2,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
533,Aruba,2020,Balance of Payments: Capital account (millions of US dollars),12,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
533,Aruba,1995,Balance of Payments: Financial account (millions of US dollars),1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
533,Aruba,2010,Balance of Payments: Financial account (millions of US dollars),-446,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
533,Aruba,2015,Balance of Payments: Financial account (millions of US dollars),112,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
533,Aruba,2018,Balance of Payments: Financial account (millions of US dollars),-23,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
533,Aruba,2019,Balance of Payments: Financial account (millions of US dollars),84,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
533,Aruba,2020,Balance of Payments: Financial account (millions of US dollars),-324,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
36,Australia,1995,Balance of Payments: Current account (millions of US dollars),"-18,669",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
36,Australia,2010,Balance of Payments: Current account (millions of US dollars),"-44,714",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
36,Australia,2015,Balance of Payments: Current account (millions of US dollars),"-56,959",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
36,Australia,2018,Balance of Payments: Current account (millions of US dollars),"-29,785",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
36,Australia,2019,Balance of Payments: Current account (millions of US dollars),"8,033",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
36,Australia,2020,Balance of Payments: Current account (millions of US dollars),"33,829",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
